time_seconds,variant,agent_count,completed_tasks,stuck_agents,average_delta_time_ms,average_fps
5.008,BaselineNavMesh,1000,79,0,8.430,118.62
10.011,BaselineNavMesh,1000,240,0,8.840,113.12
5.000,BaselineNavMesh,2000,77,0,15.385,65.00
10.001,BaselineNavMesh,2000,196,0,15.727,63.58
15.004,BaselineNavMesh,2000,413,0,16.456,60.77
5.021,BaselineNavMesh,5000,55,0,26.286,38.04
10.031,BaselineNavMesh,5000,114,0,28.634,34.92
5.026,BaselineNavMesh,10000,53,0,42.595,23.48
10.042,BaselineNavMesh,10000,90,0,43.616,22.93
5.001,SpatialHashGpuInstanced,1000,78,0,4.147,241.16
10.003,SpatialHashGpuInstanced,1000,238,0,4.305,232.31
5.001,SpatialHashGpuInstanced,2000,102,0,7.463,133.99
10.006,SpatialHashGpuInstanced,2000,264,0,7.549,132.47
5.011,SpatialHashGpuInstanced,5000,133,0,18.767,53.29
10.014,SpatialHashGpuInstanced,5000,317,0,19.543,51.17
5.027,SpatialHashGpuInstanced,10000,138,0,40.537,24.67
10.035,SpatialHashGpuInstanced,10000,351,0,41.739,23.96
15.038,SpatialHashGpuInstanced,10000,605,0,41.691,23.99
5.001,DotsEcsGpuInstanced,1000,73,0,2.661,375.76
10.002,DotsEcsGpuInstanced,1000,230,0,2.637,379.25
5.003,DotsEcsGpuInstanced,2000,92,0,3.855,259.44
10.005,DotsEcsGpuInstanced,2000,258,0,4.040,247.50
5.005,DotsEcsGpuInstanced,5000,129,0,7.493,133.46
10.010,DotsEcsGpuInstanced,5000,312,0,7.549,132.47
5.012,DotsEcsGpuInstanced,10000,138,0,13.119,76.22
10.023,DotsEcsGpuInstanced,10000,335,0,13.292,75.23
5.001,DotsEcsBehaviorLodGpuInstanced,1000,70,0,2.618,381.95
10.002,DotsEcsBehaviorLodGpuInstanced,1000,243,0,2.733,365.89
5.002,DotsEcsBehaviorLodGpuInstanced,2000,70,0,3.899,256.50
10.005,DotsEcsBehaviorLodGpuInstanced,2000,248,0,3.828,261.22
5.003,DotsEcsBehaviorLodGpuInstanced,5000,82,0,7.569,132.13
10.007,DotsEcsBehaviorLodGpuInstanced,5000,277,0,7.447,134.28
5.009,DotsEcsBehaviorLodGpuInstanced,10000,92,0,12.554,79.65
10.022,DotsEcsBehaviorLodGpuInstanced,10000,284,0,12.690,78.80
5.001,LearnedPolicyGpuInstanced,1000,79,0,4.257,234.93
10.003,LearnedPolicyGpuInstanced,1000,239,0,4.290,233.11
5.004,LearnedPolicyGpuInstanced,2000,102,0,7.640,130.89
10.008,LearnedPolicyGpuInstanced,2000,265,0,7.855,127.32
5.010,LearnedPolicyGpuInstanced,5000,132,0,19.342,51.70
10.020,LearnedPolicyGpuInstanced,5000,319,0,19.961,50.10
5.031,LearnedPolicyGpuInstanced,10000,138,0,40.244,24.85
10.040,LearnedPolicyGpuInstanced,10000,349,0,41.401,24.15
5.002,EcsLearnedPolicyGpuInstanced,1000,5,7,2.482,402.85
10.003,EcsLearnedPolicyGpuInstanced,1000,8,31,2.692,371.53
5.002,EcsLearnedPolicyGpuInstanced,2000,5,7,3.845,260.09
10.005,EcsLearnedPolicyGpuInstanced,2000,10,35,3.872,258.23
5.005,EcsLearnedPolicyGpuInstanced,5000,2,17,7.437,134.47
10.007,EcsLearnedPolicyGpuInstanced,5000,6,53,7.613,131.35
5.008,EcsLearnedPolicyGpuInstanced,10000,3,25,12.614,79.28
10.017,EcsLearnedPolicyGpuInstanced,10000,5,65,12.650,79.05
