source_file,run_id,variant,agent_count,sample_count,duration_seconds,average_fps,p05_fps,average_delta_time_ms,final_completed_tasks,completed_tasks_per_minute,average_stuck_agents,max_stuck_agents,stuck_percent
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,1,BaselineNavMesh,1000,2,10.011,115.87,113.395,8.635,240,1438.417740485466,0.0,0,0.0
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,2,BaselineNavMesh,2000,3,15.004,63.11666666666667,61.051,15.856,413,1651.5595841109039,0.0,0,0.0
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,3,BaselineNavMesh,5000,2,10.031,36.480000000000004,35.076,27.46,114,681.8861529259297,0.0,0,0.0
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,4,BaselineNavMesh,10000,2,10.042,23.205,22.9575,43.1055,90,537.7414857598088,0.0,0,0.0
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,13,DotsEcsBehaviorLodGpuInstanced,1000,2,10.002,373.91999999999996,366.693,2.6755,243,1457.7084583083383,0.0,0,0.0
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,14,DotsEcsBehaviorLodGpuInstanced,2000,2,10.005,258.86,256.736,3.8635,248,1487.2563718140927,0.0,0,0.0
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,15,DotsEcsBehaviorLodGpuInstanced,5000,2,10.007,133.20499999999998,132.23749999999998,7.508,277,1660.837413810333,0.0,0,0.0
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,16,DotsEcsBehaviorLodGpuInstanced,10000,2,10.022,79.225,78.8425,12.622,284,1700.2594292556375,0.0,0,0.0
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,9,DotsEcsGpuInstanced,1000,2,10.002,377.505,375.93449999999996,2.649,230,1379.7240551889622,0.0,0,0.0
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,10,DotsEcsGpuInstanced,2000,2,10.005,253.47,248.097,3.9475,258,1547.2263868065966,0.0,0,0.0
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,11,DotsEcsGpuInstanced,5000,2,10.01,132.965,132.5195,7.521000000000001,312,1870.1298701298701,0.0,0,0.0
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,12,DotsEcsGpuInstanced,10000,2,10.023,75.725,75.27950000000001,13.2055,335,2005.387608500449,0.0,0,0.0
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,21,EcsLearnedPolicyGpuInstanced,1000,2,10.003,387.19,373.09599999999995,2.587,8,47.98560431870439,19.0,31,1.9
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,22,EcsLearnedPolicyGpuInstanced,2000,2,10.005,259.15999999999997,258.323,3.8585000000000003,10,59.97001499250374,21.0,35,1.05
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,23,EcsLearnedPolicyGpuInstanced,5000,2,10.007,132.91,131.50599999999997,7.525,6,35.97481762766064,35.0,53,0.7000000000000001
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,24,EcsLearnedPolicyGpuInstanced,10000,2,10.017,79.16499999999999,79.0615,12.632000000000001,5,29.949086552860138,45.0,65,0.44999999999999996
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,17,LearnedPolicyGpuInstanced,1000,2,10.003,234.02,233.201,4.2735,239,1433.5699290212935,0.0,0,0.0
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,18,LearnedPolicyGpuInstanced,2000,2,10.008,129.105,127.49849999999999,7.7475000000000005,265,1588.7290167865708,0.0,0,0.0
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,19,LearnedPolicyGpuInstanced,5000,2,10.02,50.900000000000006,50.18,19.6515,319,1910.179640718563,0.0,0,0.0
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,20,LearnedPolicyGpuInstanced,10000,2,10.04,24.5,24.185,40.822500000000005,349,2085.6573705179285,0.0,0,0.0
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,5,SpatialHashGpuInstanced,1000,2,10.003,236.735,232.7525,4.226,238,1427.5717284814555,0.0,0,0.0
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,6,SpatialHashGpuInstanced,2000,2,10.006,133.23000000000002,132.546,7.506,264,1583.050169898061,0.0,0,0.0
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,7,SpatialHashGpuInstanced,5000,2,10.014,52.230000000000004,51.275999999999996,19.155,317,1899.3409227082086,0.0,0,0.0
Assets\Data\experiment_batch\crowd_experiment_metrics.csv,8,SpatialHashGpuInstanced,10000,3,15.038,24.206666666666667,23.963,41.32233333333333,605,2413.884825109722,0.0,0,0.0
