variant,agent_count,run_count,average_fps,average_fps_std,p05_fps,p05_fps_std,average_delta_time_ms,average_delta_time_ms_std,completed_tasks_per_minute,completed_tasks_per_minute_std,stuck_percent,stuck_percent_std,final_completed_tasks,final_completed_tasks_std
BaselineNavMesh,1000,1,115.87,0.0,113.395,0.0,8.635,0.0,1438.417740485466,0.0,0.0,0.0,240.0,0.0
BaselineNavMesh,2000,1,63.11666666666667,0.0,61.051,0.0,15.856,0.0,1651.5595841109039,0.0,0.0,0.0,413.0,0.0
BaselineNavMesh,5000,1,36.480000000000004,0.0,35.076,0.0,27.46,0.0,681.8861529259297,0.0,0.0,0.0,114.0,0.0
BaselineNavMesh,10000,1,23.205,0.0,22.9575,0.0,43.1055,0.0,537.7414857598088,0.0,0.0,0.0,90.0,0.0
DotsEcsBehaviorLodGpuInstanced,1000,1,373.91999999999996,0.0,366.693,0.0,2.6755,0.0,1457.7084583083383,0.0,0.0,0.0,243.0,0.0
DotsEcsBehaviorLodGpuInstanced,2000,1,258.86,0.0,256.736,0.0,3.8635,0.0,1487.2563718140927,0.0,0.0,0.0,248.0,0.0
DotsEcsBehaviorLodGpuInstanced,5000,1,133.20499999999998,0.0,132.23749999999998,0.0,7.508,0.0,1660.837413810333,0.0,0.0,0.0,277.0,0.0
DotsEcsBehaviorLodGpuInstanced,10000,1,79.225,0.0,78.8425,0.0,12.622,0.0,1700.2594292556375,0.0,0.0,0.0,284.0,0.0
DotsEcsGpuInstanced,1000,1,377.505,0.0,375.93449999999996,0.0,2.649,0.0,1379.7240551889622,0.0,0.0,0.0,230.0,0.0
DotsEcsGpuInstanced,2000,1,253.47,0.0,248.097,0.0,3.9475,0.0,1547.2263868065966,0.0,0.0,0.0,258.0,0.0
DotsEcsGpuInstanced,5000,1,132.965,0.0,132.5195,0.0,7.521000000000001,0.0,1870.1298701298701,0.0,0.0,0.0,312.0,0.0
DotsEcsGpuInstanced,10000,1,75.725,0.0,75.27950000000001,0.0,13.2055,0.0,2005.387608500449,0.0,0.0,0.0,335.0,0.0
EcsLearnedPolicyGpuInstanced,1000,1,387.19,0.0,373.09599999999995,0.0,2.587,0.0,47.98560431870439,0.0,1.9,0.0,8.0,0.0
EcsLearnedPolicyGpuInstanced,2000,1,259.15999999999997,0.0,258.323,0.0,3.8585000000000003,0.0,59.97001499250374,0.0,1.05,0.0,10.0,0.0
EcsLearnedPolicyGpuInstanced,5000,1,132.91,0.0,131.50599999999997,0.0,7.525,0.0,35.97481762766064,0.0,0.7000000000000001,0.0,6.0,0.0
EcsLearnedPolicyGpuInstanced,10000,1,79.16499999999999,0.0,79.0615,0.0,12.632000000000001,0.0,29.949086552860138,0.0,0.44999999999999996,0.0,5.0,0.0
LearnedPolicyGpuInstanced,1000,1,234.02,0.0,233.201,0.0,4.2735,0.0,1433.5699290212935,0.0,0.0,0.0,239.0,0.0
LearnedPolicyGpuInstanced,2000,1,129.105,0.0,127.49849999999999,0.0,7.7475000000000005,0.0,1588.7290167865708,0.0,0.0,0.0,265.0,0.0
LearnedPolicyGpuInstanced,5000,1,50.900000000000006,0.0,50.18,0.0,19.6515,0.0,1910.179640718563,0.0,0.0,0.0,319.0,0.0
LearnedPolicyGpuInstanced,10000,1,24.5,0.0,24.185,0.0,40.822500000000005,0.0,2085.6573705179285,0.0,0.0,0.0,349.0,0.0
SpatialHashGpuInstanced,1000,1,236.735,0.0,232.7525,0.0,4.226,0.0,1427.5717284814555,0.0,0.0,0.0,238.0,0.0
SpatialHashGpuInstanced,2000,1,133.23000000000002,0.0,132.546,0.0,7.506,0.0,1583.050169898061,0.0,0.0,0.0,264.0,0.0
SpatialHashGpuInstanced,5000,1,52.230000000000004,0.0,51.275999999999996,0.0,19.155,0.0,1899.3409227082086,0.0,0.0,0.0,317.0,0.0
SpatialHashGpuInstanced,10000,1,24.206666666666667,0.0,23.963,0.0,41.32233333333333,0.0,2413.884825109722,0.0,0.0,0.0,605.0,0.0
